ID	LOGTIME	TASKID	TYPE	USERID	OPTLOCK
1	2014-11-13 13:14:34.065	1	ADDED		0
2	2014-11-13 13:14:34.471	1	STARTED	nino	0
3	2014-11-13 13:14:34.565	2	ADDED		0
4	2014-11-13 13:14:34.659	3	ADDED		0
5	2014-11-13 13:14:34.768	4	ADDED		0
6	2014-11-13 13:14:34.861	5	ADDED		0
7	2014-11-13 13:14:34.971	6	ADDED		0
8	2014-11-13 13:14:35.064	7	ADDED		0
9	2014-11-13 13:14:35.173	8	ADDED		0
10	2014-11-13 13:14:35.267	9	ADDED		0
11	2014-11-13 13:14:35.362	10	ADDED		0
12	2014-11-13 13:14:38.563	1	COMPLETED	nino	0
13	2014-11-13 13:14:38.687	11	ADDED		0
14	2014-11-13 13:14:39.531	11	STARTED	maria	0
15	2014-11-13 13:14:39.796	10	STARTED	nino	0
16	2014-11-13 13:14:43.575	11	COMPLETED	maria	0
17	2014-11-13 13:14:43.638	12	ADDED		0
18	2014-11-13 13:14:43.716	13	ADDED		0
19	2014-11-13 13:14:43.84	13	STARTED	luigi	0
20	2014-11-13 13:14:44.824	12	STARTED	maria	0
21	2014-11-13 13:14:44.871	10	COMPLETED	nino	0
22	2014-11-13 13:14:44.949	14	ADDED		0
23	2014-11-13 13:14:46.026	9	STARTED	nino	0
24	2014-11-13 13:14:48.884	13	COMPLETED	luigi	0
25	2014-11-13 13:14:48.962	12	COMPLETED	maria	0
26	2014-11-13 13:14:49.025	15	ADDED		0
27	2014-11-13 13:14:49.649	15	STARTED	salvatore	0
28	2014-11-13 13:14:50.118	14	STARTED	maria	0
29	2014-11-13 13:14:51.086	9	COMPLETED	nino	0
30	2014-11-13 13:14:51.148	16	ADDED		0
31	2014-11-13 13:14:52.241	8	STARTED	nino	0
32	2014-11-13 13:14:53.163	14	COMPLETED	maria	0
33	2014-11-13 13:14:53.225	17	ADDED		0
34	2014-11-13 13:14:53.272	18	ADDED		0
35	2014-11-13 13:14:53.365	17	STARTED	mario	0
36	2014-11-13 13:14:54.365	18	STARTED	maria	0
37	2014-11-13 13:14:54.412	17	COMPLETED	mario	0
38	2014-11-13 13:14:54.708	15	COMPLETED	salvatore	0
39	2014-11-13 13:14:56.286	8	COMPLETED	nino	0
40	2014-11-13 13:14:56.348	19	ADDED		0
41	2014-11-13 13:14:57.425	7	STARTED	nino	0
42	2014-11-13 13:14:59.424	18	COMPLETED	maria	0
43	2014-11-13 13:14:59.487	20	ADDED		0
44	2014-11-13 13:14:59.877	20	STARTED	salvatore	0
45	2014-11-13 13:15:00.564	19	STARTED	maria	0
46	2014-11-13 13:15:02.469	7	COMPLETED	nino	0
47	2014-11-13 13:15:02.532	21	ADDED		0
48	2014-11-13 13:15:02.922	20	COMPLETED	salvatore	0
49	2014-11-13 13:15:03.593	6	STARTED	nino	0
50	2014-11-13 13:15:03.625	19	COMPLETED	maria	0
51	2014-11-13 13:15:03.687	22	ADDED		0
52	2014-11-13 13:15:03.734	23	ADDED		0
53	2014-11-13 13:15:03.827	23	STARTED	mario	0
54	2014-11-13 13:15:04.842	22	STARTED	maria	0
55	2014-11-13 13:15:04.889	23	COMPLETED	mario	0
56	2014-11-13 13:15:06.888	22	COMPLETED	maria	0
57	2014-11-13 13:15:06.95	24	ADDED		0
58	2014-11-13 13:15:07.06	24	STARTED	salvatore	0
59	2014-11-13 13:15:07.638	6	COMPLETED	nino	0
60	2014-11-13 13:15:07.7	25	ADDED		0
61	2014-11-13 13:15:08.028	25	STARTED	maria	0
62	2014-11-13 13:15:08.762	5	STARTED	nino	0
63	2014-11-13 13:15:09.808	5	COMPLETED	nino	0
64	2014-11-13 13:15:09.871	26	ADDED		0
65	2014-11-13 13:15:10.932	4	STARTED	nino	0
66	2014-11-13 13:15:12.072	25	COMPLETED	maria	0
67	2014-11-13 13:15:12.135	27	ADDED		0
68	2014-11-13 13:15:12.181	28	ADDED		0
69	2014-11-13 13:15:12.275	24	COMPLETED	salvatore	0
70	2014-11-13 13:15:12.337	28	STARTED	mario	0
71	2014-11-13 13:15:13.274	27	STARTED	maria	0
72	2014-11-13 13:15:14.966	4	COMPLETED	nino	0
73	2014-11-13 13:15:15.013	29	ADDED		0
74	2014-11-13 13:15:15.31	27	COMPLETED	maria	0
75	2014-11-13 13:15:16.091	3	STARTED	nino	0
76	2014-11-13 13:15:16.371	29	STARTED	maria	0
77	2014-11-13 13:15:16.418	28	COMPLETED	mario	0
78	2014-11-13 13:15:16.481	30	ADDED		0
79	2014-11-13 13:15:17.433	30	STARTED	salvatore	0
80	2014-11-13 13:15:19.136	3	COMPLETED	nino	0
81	2014-11-13 13:15:19.182	31	ADDED		0
82	2014-11-13 13:15:20.26	2	STARTED	nino	0
83	2014-11-13 13:15:20.416	29	COMPLETED	maria	0
84	2014-11-13 13:15:20.463	32	ADDED		0
85	2014-11-13 13:15:20.509	33	ADDED		0
86	2014-11-13 13:15:20.603	32	STARTED	mario	0
87	2014-11-13 13:15:21.478	30	COMPLETED	salvatore	0
88	2014-11-13 13:15:21.602	33	STARTED	maria	0
89	2014-11-13 13:15:21.65	32	COMPLETED	mario	0
90	2014-11-13 13:15:23.648	33	COMPLETED	maria	0
91	2014-11-13 13:15:23.71	34	ADDED		0
92	2014-11-13 13:15:24.585	34	STARTED	salvatore	0
93	2014-11-13 13:15:24.788	31	STARTED	maria	0
94	2014-11-13 13:15:25.304	2	COMPLETED	nino	0
95	2014-11-13 13:15:25.382	35	ADDED		0
96	2014-11-13 13:15:26.834	31	COMPLETED	maria	0
97	2014-11-13 13:15:26.88	36	ADDED		0
98	2014-11-13 13:15:26.927	37	ADDED		0
99	2014-11-13 13:15:27.022	37	STARTED	mario	0
100	2014-11-13 13:15:28.02	36	STARTED	maria	0
